Words,Count
я,8591
,8154
товар,3703
магазин,3198
цецеи,2942
день,2524
замовлення,2402
телефон,1926
як,1924
розетка,1695
якии,1621
всеввесьвесь,1424
вже,1366
міи,1365
доставка,1284
иоговоновін,1190
цеи,1109
могти,1075
менеджер,1025
такии,1011
саит,1004
центр,985
сервіснии,959
немає,902
проблема,849
час,844
повернення,841
отримати,813
свіи,778
відправити,778
зробити,751
чекати,749
сервіс,735
повернути,721
грошігріш,710
грн,709
один,707
томутоите,690
передзвонити,688
та,686
замовити,685
тиждень,669
дзвонити,664
то,652
приити,611
іншии,602
без,599
ціна,592
пошта,584
ніхто,581
покупка,579
відповідь,572
купити,571
новии,561
дании,540
можна,528
тои,524
номер,524
оператор,517
вирішити,514
працювати,511
купувати,510
дужедужии,508
подзвонити,507
сьогодні,506
наступнии,502
нічогоніщо,498
просто,487
більшебільшии,487
виявитися,477
тетои,477
питання,476
забрати,459
повідомити,457
алале,448
гарантія,442
година,440
тоите,436
наявність,432
написати,430
ремонт,429
казати,421
гарантіинии,416
робити,414
зі,409
місяць,407
зателефонувати,407
відгук,404
рекомендувати,400
подарунок,396
ноутбук,393
коробка,388
замовляти,387
воновін,382
всіввесьвесь,356
потрібно,349
назад,348
відразувідраза,345
два,335
сам,333
результат,329
іншеіншии,328
самиисам,323
іівона,319
знати,317
інформація,316
приіхати,315
ваш,314
взагалі,312
відповісти,308
повиннии,307
чомущо,306
добредобрии,306
почати,301
проити,301
змогти,299
днодень,298
ніякии,295
перевірити,294
термін,294
доставити,293
ситуація,292
оплата,289
ось,287
гроші,286
писати,282
момент,280
хвилина,280
відповідати,279
істивони,277
право,274
курєр,273
кілька,273
хотітихтіти,272
обіцяти,271
думати,269
самесамиисам,265
привезти,263
новановии,259
клієнт,257
планшет,257
якиись,253
говорити,251
із,251
протягомпротяг,251
будабути,248
попросити,245
запропонувати,245
стилус,245
споживач,245
бо,244
уточнити,243
карта,243
заява,241
смс,238
рік,237
видача,236
продавець,234
підсумок,232
сц,228
талон,226
інтернет,225
покупець,225
відмовитися,224
телевізор,224
довестися,222
телефонувати,221
звязатися,220
тобто,220
людина,219
першии,219
кошткошти,218
оплатити,217
чогощо,215
випадок,214
звернутися,214
поки,211
екран,210
вказати,210
дзвінкадзвінкиидзвінок,207
отримання,205
захист,205
склад,203
ранішеранішии,201
жаль,201
виявити,200
забирати,198
якість,196
кожнии,196
модель,194
лише,194
відправка,194
киів,192
прииняти,190
ити,189
коштикошт,188
плівка,186
закон,186
stylus,186
відправляти,185
