Words,Count
ніхто,581
повідомити,457
казати,421
результат,329
інформація,316
відповісти,308
почати,301
гроші,286
істивони,277
право,274
обіцяти,271
привезти,263
говорити,251
із,251
попросити,245
стилус,245
споживач,245
бо,244
заява,241
підсумок,232
сц,228
відмовитися,224
телевізор,224
телефонувати,221
звязатися,220
тобто,220
кошткошти,218
оплатити,217
чогощо,215
звернутися,214
екран,210
вказати,210
дзвінкадзвінкиидзвінок,207
захист,205
виявити,200
кожнии,196
лише,194
відправка,194
прииняти,190
ити,189
коштикошт,188
плівка,186
закон,186
stylus,186
відправляти,185
