Words,Count
задоволении,306
цілому,220
цитрус,210
швидко,195
великии,188
спасибі,167
акція,156
хорошии,146
ніж,137
обслуговування,135
залишитися,124
сподобатися,122
вв,120
консультант,120
місце,119
всівсеввесьвесь,119
роботаробот,116
оформити,115
трохи,115
знаити,114
смартфон,112
користуватися,111
вибір,111
приємно,111
черга,109
само,108
цілецілиив,108
хлопець,107
знижка,105
місто,103
навушник,103
співробітник,102
роботробота,101
пункт,100
інтернетмагазин,99
можливість,99
послуга,93
сподіватися,93
речі,92
упаковка,91
хотіти,90
асортимент,90
взяти,87
брати,87
розуміти,85
